Tweet,Sentimen
"RT @TheAleem: Antivaxx buat sijil/kad palsu pun tak guna sebenarnya. Kenapa?

Sebab dalam vaksin kan dah ada microchip, gomen tinggal scan…",Negatif
"RT @H_Bakkaniy: Kalau rasa nak tayang dan menunjuk sijil digital pelalian (vaksin) kau orang ,paparkan nama dan PPV sahaja memadai.Jenama p…",Positif
@diru_saputra Saya terpaksa vaksin karena belum siap untuk kerja yg lain😥😥,Negatif
RT @ameyshrm: Mana ada org jadi zombie sbb vaksin. Org jadi zombie sbb makan rendang warung pak munawer bajang. Ada sisa radioaktif tumpah…,Positif
Menko PMK: Pemerintah Terus Bantu Warga Miskin dan Rentan Miskin di Masa Pandemi Covid-19 Vaksin Tuntaskan Pandemi https://t.co/aIxaHEeSeh,Negatif
"@diru_saputra Sayang banget degan kondisi saat ini resign ,zaman susah kerja, vaksin jutaan orang sudah divaksin ,niat sehat saja inshaallah , Allah melindungi kita semua",Positif
keknya efek samping vaksin bru skrng bekerja:'),Netral
"RT @JulieAisyah2: @H2OComms @arifsetia2013d @scarecrow1113
Bilangan setakat 12 Ogos. Jom #Malaysia lawan #COVID19Malaysia #COVID19 #WuhanVi…",Netral
Morning. Aku mau vaksin hari ini karna kemaren gajadi huhu doakan temen-temen. Degdegan ketemu jarum,Netral
"RT @AmirudinShari: Setakat 13 Ogos 2021, sejumlah 5.87 juta dos vaksin telah disuntik di Selangor. Manakala, menerusi SelVAX pula, tambahan…",Netral
"RT @budhihermanto: Warga #jogja yg belum vaksin, silahkan. https://t.co/KUH0ZPi2BK",Netral
RT @id_fm: MAU SEPERTI INI? MAKANYA VAKSIN!!! https://t.co/JvlpxukMJ3,Netral
@minguerie Belom swab tapi alhamdulillah udah vaksin sih. Kalo pilek tuh sampe gak bisa nyium gak sih?,Negatif
"RT @mr_adityason: Kalau vaksin bisa mencegah penularan, kenapa takut dgn org blm vaksin?
Klw vaksin tdk mencegah penularan, kenapa semua or…",Negatif
"@azwarsiregar Ini salah satu contoh orang yg sedari kecil sdh pernah mendapatkan vaksin, misal cacar, campak, TT, dll. Jadi vaksinasi bukan hal yg baru. Bukankah lbh baik menjaga drpd mengobati?",Positif
"@mosh_marshmalow @hooniieyy Haii kalau untk tukar tmpat or tarikh, awak bole call jkn negeri awak. Saya dh pernah try. Tk smpai sehari dh dapat tukar. Bole search kt portal kementerian kesihatan. Ada senarai jkn setiap negeri. And try contact diorang untk tnya pasal vaksin tu😊",Netral
"Tetangga gabisa buka sertifikat vaksin ""gausaaa vaksin, ngapain sertifikatnya gada"" padahal pas gue bantu liatin adaa, dia aja yg gabisa bukanya:(",Negatif
"Sudah diberi kesempatan untuk vaksin, kemungkinan besar gratis, malah milih buat kehilangan pekerjaan.

Banyak orang yang pengen vaksin tapi susah aksesnya lho.",Positif
@WINSlMP dpt vaksin apose?,Netral
"@na_dirs Tapi kami Rakyat merasakan kehadiran Pemerintah..
* Dpt vaksin spt penduduk dunia lainnya.
* Ada keluarga yg sakit dpt kiriman Sembako dr Kelurahan dan obat/vit. dari Puskesmas
* 2 anak yg diikutkan bpjs TK dpt subsidi gaji, 
* Tetangga yg kurang mampu dapat bansos.
Rt.ku baik.",Negatif
@Nandaa_80 Lama2 Saatnya Nanti kesawah wajib pakai Kartu Vaksin 🤣🤣,Negatif
"Cah kilo tak kasih info vaksin dosis 1 area tiudan, ngunut, boyolangu. Kuota terbatas. Sing wingi tekon info dosis 1 yo kwi ndang sat set. Info lebih lanjut follow ig @dinkesta https://t.co/kIqM51y4IE",Positif
RT @kumparan: Rumah warga yang ditempel stiker nantinya akan didatangi petugas kesehatan. Setelah itu penghuni rumah juga akan divaksin. #k…,Netral
"RT @ABSetyono: Heboh Vaksin Pfizer Mengandung Grafena Oksida, Kominfo Pastikan Hoaks! 

@kemkominfo menegaskan bahwa kabar yang menyebut gr…",Positif
"RT @askfar23: Semua sakit dalam gambar ni, family aku yg positive rasa. Yg dah 2nd dose ke 1st  dose ke, rasa. 
Jadi, Sudah Lengkap Vaksin,…",Positif
"@diru_saputra Saya jg ga menolak vaksin, kalo vaksinnya bagus sih mngkin bisa dipertimbangkan, lahh ini sinoFCK yg negara pembuatnya aja ga mw pake, malah pake Pfizer.
Btw spertinya makin kesini vaksin bakal lebih divaksain, smpe nurunin polisi door2door ke tiap rumah 😢 WHY???",Positif
"pagi bebi, hari ini ak vaksin kedua 😢",Netral
RT @cypriancrgdo: Vaksin x percaya. Iphone 12 Rm950 percaya pula 😆,Netral
"""semenjak sudah vaksin.... "" adalah sebuah era baru.",Positif
RT @AdamPrabata: Kombinasi vaksin Covid-19 AstraZeneca dan Pfizer ternyata terbukti memunculkan imunitas yang lebih tinggi dibandingkan 2 d…,Positif
AYO KITA VAKSIN https://t.co/j0pcwGJT8Y,Netral
LEPAS VAKSIN NAK TENGOK PENTHOUSEEE,Netral
"RT @aan__: Benar, vaksin ada Bluetooth, sekarang dari HP aku bisa setting salah satu bagian tubuhku biar jadi vibrate",Positif
"lagi dan lagi, kaum antivac malah ngeributin "" baju cetakan "" sertif vaksin. Zuzur, cape. Scalpel mana scalpel?!",Netral
RT @waniardy: ANTIVAXX MANA YANG BUAT CERITA SAYA HILANG INGATAN SEBAB VAKSIN YA? NAMANYA BRAIN FOG. SEBAB LONG COVID. BUKAN SEBAB VAKSIN.…,Negatif
"@Dik_Rizalicious @katzedikke @DrMedianaCinta Gpp jg kali, selama belon wajib pake sertifikat vaksin setiap mw ketawa.
🤣🤣🤣
🙏🙏🙏",Negatif
Vaksin booster ini masya allah sekali rasanya bunda bundaa :(,Negatif
"RT @kayciro94: Sangat bahaya guys virus ni ,pergilah ambil vaksin ,siapa yg dah cukup dua dos tu tunjuk peace ✌🏻 https://t.co/LHcKOlzWuA",Negatif
"RT @vaksinasimrdka: Selasa, 03 Agustus 2021 pukul 08.00 WIB,
Wakapolda Metro Jaya, Brigjen. Pol. Drs. Hendro Pandowo, https://t.co/rQo5fNEU…",Netral
Gini amet efek samping dari vaksin,Netral
"selain nilai nominal yg meningkat, otsus juga lebih menyerap aspirasi dan kebutuhan masyarakat asli Papua (OAP)

Vaksin Tuntaskan Pandemi

https://t.co/0IoiJJjvc5",Netral
"mau vaksin aja ribet bgt, kta rt langsung datang aja, pas udh d tempat harus punya kupon lagi 😭😭 buang"" tenaga pagi aja https://t.co/x6hFVBmqfi",Negatif
Di Bandung dimana aja sih yang udah berlaku syarat surat vaksin?,Netral
lepas cucuk vaksin 💉 saya delete 🧘‍♀️ https://t.co/lCd0qc5TSz,Netral
RT @Ndons_Back: Ini artinya yg belum vaksin tidak memiliki hak untuk menggunakan sarana prasarana/ fasilitas publik ya. Apakah berlaku juga…,Positif
"@ceofdonat @convomf Mjb, tapi aku dulu SD jadi dokcil banyak kegiatannya ya, ada seminar di puskesmas, terus jadi pengurus UKS, bantu dokter kalo ada jadwal vaksin disekolah, dll. Trs kalo emang lagi ada tugas gitu kita pake seragam dokcil",Positif
"RT @SweetyOct: @FPKSDPRRI @MardaniAliSera Yth. Bapak @msi_sohibuliman @aboebakar15 @tifsembiring @haldipanjaitan PKS sllu hdr bersm rakyat,…",Netral
@brgsjks Aku area kemaman dok dapat2 lagi vaksin oi. Aku nok cip 5g gokkk 😩😆,Positif
"RT @tubirfess: 2beer! Menanggapi isu nakes yg suntikkan vaksin kosong, eh komennya orang di tok tok hampir semua berpendapat kayak gitu, pa…",Negatif
Rumah warga yang ditempel stiker nantinya akan didatangi petugas kesehatan. Setelah itu penghuni rumah juga akan divaksin. #kumparanNEWS https://t.co/gQFxfagf1E,Netral
vaksin D+2 gaenak badan banget😭 tenggorokan sakit,Positif
"RT @nobi_zen: Buat penjelasan dulu nih, kita harus akui bahwa banyak warga non KTP DKI yang berdomisili di Jakarta. Abis itu, banyak juga w…",Positif
"Dee telat buat vaksin ke 2, udah abis 😔",Negatif
Kapan ya vaksin covid tersedia tdk harus rebutan daftar @kabarsleman tetangga banyak yg belum,Positif
@JK7SM waaa abis vaksin langsung istirahat yaaa,Netral
"RT @BerkahMassage: H! Masslove,Available yah untuk hari ini, incall/out,JAKBAR area

Note : Akun ke 2 dari @berkahmassage3  yang kena Hacke…",Positif
RT @askfar23: So kepada korang yg belum yg belum vaksin pi je mana mana yg boleh walk in. Tibai je brand apa pun. Karang dia nak booster 3-…,Positif
@geloraco Ganti saja vaksin nya,Netral
"RT @hrmnt80: @KemenkesRI mengalokasikan 5.102.300 dosis vaksin Moderna ke 34 provinsi.
Dan menginstruksikan seluruh kepala dinas Kesehatan…",Netral
"Yuk Kita Simak,
Mengapa Harus Pakai Masker Setelah Vaksin?

Sumber : https://t.co/TiX17kJugm @ Rawalo, Banyumas, Jateng https://t.co/gPvkOg53UG",Netral
"RT @Faraaaahin: Ugh. Dah tu ambik jela vaksin. Kita jadi zombie ramai ramai. Takkan kitorang jadi zombie, kau tak jadi zombie? Nak mampus k…",Positif
Doain ya ges hari ini gue mau vaksin booster ke 3 agak ngeri2 sedep sih 😂😂,Negatif
"RT @pearkuku: Thank you @missfazura kita perlu ramai selebriti dan influencer untuk bagi awareness pasal vaksin, dan vaksin pada ibu yang m…",Positif
"RT @askfar23: Sebelum ada antivaxx pusing tujuan aku, tujuan thread aku ni nak bgtahu bahawa walaupun kau dah cucuk 2 dose, ini sakit sakit…",Negatif
"@daethena27 @tubirfess Suntikan vaksin ga ke pembuluh darah. Karena suntikan vaksin itu intramuscular, cuman je jaringan otot https://t.co/KrOu4WrCmw",Netral
"@herubadala @aniesbaswedan @tamanhutandki @PalangHitamDKI Vaksin sdh 95% dr warga dki itu slh satu contoh usaha slmtkan warganye yg sdh d kerjakan.jumlah korban mninggal itu ada jg warga dr luar dki yg d rawat d dki.daerah lainpun sm yg meninggal banyak.poinnye doa,usaha iman&amp;taqwa insya allah yg maha kuasa lindungi bangsa ini.aamiin.",Positif
@convomf vaksin ke duaaa,Netral
"RT @datukhensem: Sembang macam ahli kabinet yang cucuk vaksin sampai program boleh terganggu kalau Perdana Menteri letak jawatan.

LET DEWA…",Netral
Jika vaksin lebih mematikan dari virus? Kenapa mewajibkan vaksin ❓❓❗❗❗ https://t.co/35CQ1UlGWr,Positif
males berangkat vaksin sebenernya,Negatif
"RT @pejuang_subuh09: Saat kartu vaksin lebih berharga dari segalanya, mungkin kedepannya bisa seperti ini.... https://t.co/qUFiWfwNMb",Positif
Nanti aku vaksin kedua .. pasti rame banget :(,Negatif
@bdngfess Pegel di tangan yg abs di vaksin sm laper mulu,Netral
"@BujangOta Memakai vaksin sinovac. 
Nanti, saat screening tanya aja yg msh jadi keraguan dgn dokternya. Justru lebih baik begitu, jujur dan kooperatif.b👍🏻",Positif
"RT @diru_saputra: Akhirnya adik ku memilih RESIGN setelah perusahaan tempat kerjanya memberikan 2 pilihan, VAKSIN atau RESIGN. Adakah di an…",Netral
@ciciritt Umur 18 keatas daftar vaksin dah berbulan bulan tapi still jugak tak dapat haih,Positif
sksksk vaksin ke 2 hari ini...,Netral
"RT @hooniieyy: Btw benda ni buat banyak kali, before ni i try banyak cara, guna web, pastu cara ayda jebat la sampai jadi tuah pun still su…",Positif
"RT @abu_waras: Setiap yg berpotensi menimbulkan kerumunan masyarakat, dibuat aturan ketat.
Masuk Mall hrs pake Sertifikat Vaksin.
Masuk tem…",Netral
RT @ridwan2474: @Aan__coverBOYkw @wisanggeni_084 @WagimanDeep212_ @__AnakKolong @YRadianto @tjhinfar21 Ya gak usah mikirin dulu efek yg aka…,Positif
RT @hmetromy: #Putrajaya Suntikan dos lengkap vaksin Covid-19 yang meningkat dalam kalangan populasi dewasa di lima negeri berjaya membantu…,Positif
Okay dh beli baju vaksin. Masa 1st dose tak sempat beli😆,Positif
"RT @anjanialam: yang udah vaksin dan pengen cetak sertifikatnya kaya bentuk KTP perlu hati-hati juga ya, kan di situ ada data pribadi kita,…",Positif
"Rang orang ngapa dah ribet cetak kartu vaksin, lah tiap hari kemana2 pegang hape, tinggal lewat aplikasi PELI kan bisa toh ndak perlu repot2 vetak",Negatif
"@hooniieyy Lagi awai dapat vaksin, lagi cepat jadi zombie la kan.. Ntah2 yg mana lambat dapat vaksin nanti,  tak sempat jadi zombie sbb kena baham dulu dgn zombie senior... 😂😂",Positif
Suplai vaksin yang cukup untuk sektor industri sendiri dilakukan agar vaksinasi bisa terus diperluas dan lebih masif,Positif
Untung udah 2 kali vaksin.. masuk mall pun gak ribet🤣🤣,Positif
"@diru_saputra Vaksin aja, nanti setelah vaksin bekam",Netral
pagi jgn lupa vaksin,Netral
"RT @BPOM_RI: #Sahabat BPOM, tambahan 5 juta dosis vaksin CoronaVac produksi Sinovac telah tiba di Indonesia, Jumat (13/8). https://t.co/bvc…",Netral
RT @IDNTimesJabar: Penertiban dilakukan Ditjen PKTN ini untuk lindungi data konsumen https://t.co/lL2PRFyeE1,Positif
"Sebaiknya kita belanja di pasar tradisional saja .
Ngapain juga repot pakai kartu vaksin segala. 
Emang vaksin sudah jadi kewajiban warga ...? 
Lantas bagaimana dengan  kewajiban negara untuk memberi kebutuhan hidup pada rakyatnya.",Netral
"@AdamPrabata Kabar baik nya varian virus Flu maha-Banyak, maka siap2 aja di vaksin setiap hari seumur hidup mu...",Positif
@andi_melmel Masih on going kah dramanya mak? Sini deh vaksin di tempat gue aja 🤣,Netral
After vaksin kedua hari pertama gak rasa apa apa ya ini hari kedua pusing badan pegel pegel semua,Positif
RT @infojakarta: MRT Jakarta wajib menunjukan sertifikat vaksin covid-19. https://t.co/rZ5mm4VqgD,Netral
Penertiban dilakukan Ditjen PKTN ini untuk lindungi data konsumen https://t.co/lL2PRFyeE1,Positif
@MahfuzOmar Kat 06400 pokok sena ni bila nka settle vaksin mahfuz oi? Kuala Nerang tu kampung pon lagi laju dari pokok sena oi. Tak abis2 politik la hang ni.,Positif
"@FKadrun Klo ternyata Vaksin ini gagal

KITA MATI RAME RAME..!!!! 

Diakhirat TUNJUK dipaksa PENJAHAT PEMERINTAH
Malaikat Panggil yg Buat Kebijakan
KITA GEBUKIN RAME2..",Netral
"@mediaindonesia Syarat utama naik trans umum ya uang bukan bukti vaksin ,ada"" saja takut corona itu namanya kedholiman .",Negatif
"@bdngfess Vaksin pertama gada reaksi. Vaksin kedua badan panas trs pegel bgt tp sehari doang, abis tu gada lagi. Jd laperan juga ngga. Plg pitunduheun",Positif
"Sch! Guys hari ini aku mau vaksin di sekolah, deg-degan uuuuuuu

✄・・・
🧐 Trivia: Asam klorida: HCI",Netral
"@FaheemYounus @afifahafra79 Test opo sing dipilih? 

Ono gejala? Test PCR

Arep nyambut gawe? Test Rapid (antigen) 

Wes bar +Covid? Rasah baleni test (virus sing wes mati iso marai test +) 

Wes bar vaksin? Rasah test. Ora kabeh test antibodi mendeteksi imun

Jik mikir Covid Hoax? 
Utekmu ndang ditest 🤣",Negatif
"@fridayuss Jelasss, vaksin ayam dikasih buat lu",Negatif
"@lightsacrifice 14weeks mmg dah boleh, tp baby terlalu muda, takut berisiko juga.. probability &amp; % utk gugur still ada.. 17 ke atas tu sy rasa elok dah vaksin.. btw good morninggg! 😄 Seronok plak borak ngn awk.. hehe",Positif
Hari ini vaksin ke-2,Netral
"Gais mau nanya, 🤣 mau nanya ke halodoc bayar pake gopay
Barangkali bisa kasih pencerahan tapi tetep nanti siang aku ke klinik
Kalo suntik kb boleh barengan, berdeketan atau harus jeda dulu kalo kita mau suntik vaksin
Aku mau suntik vaksin minggu.fixbgtinimahgarevisilagi
??????",Positif
Dengan adanya suplai vaksin yang cukup terutama hal ini dilakukan untuk sektor industri.,Netral
Sejak kebelakangan ini byk kematian yg kita dengar selepas complete 1 dose/2 dose dan kemudiannya didapati betapa senangnya positif covid19 dan akhirnya meninggal dunia yakni diisytiharkan mati sbb covid...terpikir sejenak kenapa bukan sbb vaksin kalau dah kerap sgt? Hurmmm,Positif
"Dari awal kedatangan vaksin, sudah banyak sekali oknum yg memanfaatkannya untuk menyebar hoax. #BersatuMelawanHoax",Positif
"Syukur saya telah lengkap divaksinasi. Semoga kita semua dapat melengkapkan pengambilan vaksin kita demi memerangi Pandemik Covid 19 ini

#StaySafeStayUnited
#LindungDiriLindungSemua
#MenangBersama https://t.co/N1mzgJzfCG",Positif
"@BujangOta Boleh. Pastikan aja badan fit seminggu sebelum hari H (tidur cukup, makan yg baik). Lalu hari H sarapan. 
Saya punya gerd. Vaksin sdh lengkap dr  bulan Mei. Kipi hanya meriang dua jam. Hanya tidur dan minum banyak, selesai. Ibu saya jg punya maag. Ga ada kipi.",Positif
@Nur94785866 Hai Kak Nur. Apabila dalam masa kehamilan silakan menunjukan surat keterangan dari Dokter yang menyatakan bahwa pelanggan tidak dapat melakukan vaksin. Sehat selalu ya Kak :) ^RA,Positif
"RT @historia_id: 13 Agustus 1889 M. Sardjito lahir di Purwodadi, Magetan, Jawa Timur. Di bawah kepemimpinannya, Institute Pasteur membantu…",Netral
RT @namjunwife_: Suatu kehormatan &amp; kebanggaan buat kami di undang interview oleh Staf Khusus Presiden untuk membahas project vaksin kami y…,Positif
@Sunda_Fess hari ini vaksin kedua,Netral
Semalam ckap nak vaksin harinih dh dpatt tarikhh 😍 https://t.co/DHWCusWY0L,Netral
"@ksjluv3 IIIII JGN DEG2AAANNNN ak jg kmrn vaksin gtu sih,,tp pas udh selesai nya seneng👍😭",Positif
"Asli ksih aku pncerahan knp masih bnyk orng2 yg gk mau vaksin? Aku salah satu orng yg ngejar vaksin bgt pas awal2 vaksin keluar,,ngajak ortu buat vaksin dan alhamdullilah tanpa dikasih tau pun mrka udh inisiatif pngn sndri.",Positif
abis vaksin kedua jadi ngantuk mulu perasaan,Netral
"@diru_saputra Kalau saya justru merasa senang ada kesempatan Vaksin dari kantor, nggak perlu repot cari Vaksin di luar. Selain itu, kebetulan jadi panitia Vaksin tambah lagi seneng nya bisa Bantu yang lain Vaksin.",Positif
"Sebelum mengikuti acara tersebut, para ASN pun diharuskan mengikuti swab test antigen yang telah disediakan di lokasi acara dan wajib dalam keadaan sehat serta telah melakukan minimal vaksin dosis pertama",Positif
"RT @HannZiq: Tapi, mana suara Menteri Wanita, Keluarga dan Masyarakat dlm soal ini utk mudahkan ramai wanita mengandung ambil vaksin? Senya…",Positif
"RT @AchuNadia: Kepada rakyat Malaysia yang terjejas sejak bulan 3 tahun lepas &amp; sehingga sekarang masih terhuyung hayang untuk hidup, takzi…",Positif
@amerugaki Nyinya.. :( Cepet sembuh.. Udah swab? Tapi kemaren sempet vaksin kan?,Negatif
Ootd vaksin belom mandi ceunah 😜 https://t.co/0W3hgO8QUG,Netral
"RT @RafiCounsel: Bahaya betul pemikiran antivaks macam ni.

Ingatkan kerja doktor je diaorang ambik,

Kerja Peguam pun dia sapu semacam!

S…",Positif
"Yang belum vaksin malu ngga sama orang gua ?, dia aja yang jarang ketemu orang sedikit tau tentang dunia modern mau divaksin karena ngehargain keputusan dokter. https://t.co/KOohkSOCHn",Positif
Masih saja vaksin dipaksakan @KemenkesRI padahal korban banyak berjatuhan. https://t.co/OiHvoTFDlL,Negatif
Disini ada yang pernah Covid ? Apa sudah boleh vaksin ? Soalnya lihat diberita sudah diperbolehkan vaksin meski belom sampe 3bulan,Netral
Khofifah berharap Pak Mentri bisa menyuplai vaksin yang cukup.,Netral
"@detikcom Kan kemarin sudah bocor 
Lalu syarat masuk mol katanya harus ada kartu vaksin",Netral
RT @JPenerangan: menjadikan jumlah kumulatif pemberian vaksin menerusi Program Imunisasi Covid-19 Kebangsaan (PICK) setakat Selasa sebanyak…,Positif
"RT @dfitriii1: klo ditanya apa alasannya sy menolak vaksin? 
pertama jelas krn dgn imun alami, peluang kesembuhan covid 98-99% asal diserta…",Positif
"@PT_Transjakarta Halo pagi tije, mau tanya  sy posisi lg hamil , kl untuk vaksin sy gk boleh, sy cuma punya surat bukti antigen dari rumah sakit.apakah it bisa di gunakan untuk perjalanan kerja..... Terimakasih infonya",Netral
"@Di4nHardian @jhonpjrt Ni gaduh vaksin na apal, bilih di sakolakeun ka bank mun dipasihan ayeuna",Netral
"deg""an skrng ku mau vaksin ke 2 ksjsjwndjw",Netral
RT @jowoshitpost: Tulung infone Nek arep bayar Bank kon vaksin sek ga yo lur? https://t.co/RzRxFB4WqA,Netral
"RT @sehatsurabayaku: UPDATE INFORMASI

Antusiasme #DulurSehatSby yang ingin mendapatkan vaksinasi dosis 2 Sinovac di Lapangan THOR sungguh…",Positif
"RT @CindyBexter: Saran saja ya? Bila anda mencintai pekerjaan itu sebaiknya vaksin. Namun sebelum divaksin anda wajib berdoa, ya Allah hidu…",Positif
RT @jawapos: Pasutri Penemu Vaksin Pfizer Siapkan Vaksin Baru Lawan Varian Delta https://t.co/ALthXuh6D1,Positif
"RT @AngelMaximilan: https://t.co/k8V4OKJ8dD

Vaksin Moderna mulai disuntikkan untuk umum, namun belum banyak informasi tentang lokasi penyu…",Negatif
@YogaFebriansya4 @sehatsurabayaku @BanggaSurabaya @dinkesjatim @SapawargaSby @satpolppsby @Commandsurabaya @BPBLinmas_sby @e100ss @PolrestabesSby masnya saat vaksin pertama data no hp dan email kah? sebelum login di apk pedulilindungi mas daftar dulu by email / no hp mas nanti akan muncul keterangan,Positif
"mau vaksin tpi takut, tpi mau gmn lgi coba, takut tpi tetap percaya diri😭",Negatif
@DPPP25_ Tmn2ku banyak udah banyak vaksin pake vaksin morena,Positif
Deg deg an bgt mau vaksin,Netral
"Hal ini terlihat dari partisipasi pelaku usaha dan asosiasi dalam penyelenggaraan vaksin banyak yang ikut serta, mulai dari Kadin, Aprindo, Hippindo dan asosiasi yang lain. #AirlanggaKerjaNyata
https://t.co/VP1Nn03plT",Positif
"@naylierasyiqah_ menariknya. adakah kalau kita derma darah lepas vaksin, kita derma sekali dgn antibody baru tu? 🤔",Positif
"""Yang dimaksud dalam partisipasi ini bukan hanya dalam hal peserta vaksin tetapi juga penyelenggara vaksin. Dunia usaha khususnya sangat supportif pada pemerintah dalam menyelenggarakan vaksin di berbagai daerah,"" jelas Jerry Sambuaga. #AirlanggaKerjaNyata
https://t.co/VP1Nn03plT",Positif
"Program vaksinasi juga menjadi sorotan Balitbang. Menurut Ketua Balitbang, vaksinasi yang terjadi sekarang sudah menunjukkan trend partisipatif yang baik. #AirlanggaKerjaNyata
https://t.co/ViefjO3X1I",Positif
"Demikian juga dalam menangani permintaan oksigen dan obat-obatan, pemerintah beserta stake holder terkait bisa segera beradaptasi. #AirlanggaKerjaNyata
https://t.co/ViefjO3X1I",Netral
"Dalam hal penyediaan sarana kesehatan, pemerintah bergerak cepat dengan membuka fasilitas-fasilitas sementara. #AirlanggaKerjaNyata
https://t.co/ViefjO3X1I",Positif
"Dalam rangka Percepatan Vaksinasi, Pemerintah melalui Kepolisian Republik Indonesia mengadakan Vaksin Merdeka yang kegiatan tersebut di pantau langsung oleh Kapolsek Pasar Rebo KOMPOL M MARBUN https://t.co/QkjbcUZwjt
Jum'at 13 Agustus 2021 https://t.co/9r4m3fMqbC",Positif
vaksin mulai jam brp dah,Netral
Ngantri vaksin kek ngantri bansos,Netral
"RT @FaGtng: Vaksin Covid-19 disebut mengandung grafena oksida ; HOAKS !!! 

Sekali lagi , catat. 
HOAKS !! 

Baca info dari @kemkominfo 
@P…",Netral
"RT @orchidpoison: kemarin kan vaksin ya, terus aku pake pakai parfum baru 32ribuan, iseng coba coba ternyata enak banget mana tahan lama 🥺🤍…",Positif
"RT @IrsyadNazhan: Sarawak: Tak kacau orang, beli vaksin sendiri, buat vaksin roll out secepat mungkin

States who have much more money then…",Positif
"effect lepas vaksin
orang lain : lekat sudu
aku : lekat anak",Netral
@buron4n DEMI VAKSIN GUA BANGUN JAM SEGINI🤬,Netral
@KetumProDEMnew @Resty__Cayah Saatnya adu kuat duit sponsornya Anies dgn rakyat yg jd korban gegara pemberlakuan surat vaksin utk syarat beraktivitas. Pejabat² yg seide dgn Anies tahu jln Anies bakal mulus 2024 krn sponsornya kenceng.Mrk merapat krn ada kepentingan pribadi.,Positif
"RT @HermyRahim: Betul. Well done capai jumlah vaksin yang tinggi. 

Namun kalau tak terkawal macam ni satu benda yang perlu diambil serious…",Negatif
Oh Vaksin Oleh Norfaezah https://t.co/i2yBRbWmNQ #matkomik #komikmalaysia #bacapercuma #komikpercuma,Netral
RT @mas_prasetiyo: Indonesia punya data yang jelas dan detail seperti ini gak ya terkait KIPI hingga kematian akibat vaksin covid? Kampanye…,Positif
